"L1","L2","L3","L4"
"Art",,,
"Art","Paintings",,
"Art","Paintings","Abstract Paintings",
"Art","Paintings","Portrait Paintings",
"Art","Paintings","Landscape Paintings",
"Art","Paintings","Still-life Paintings",
"Art","Paintings","Figurative Paintings",
"Art","Paintings","Animal Paintings",
"Art","Paintings","Interior Paintings",
"Art","Paintings","Nude Paintings",
"Art","Photography",,
"Art","Photography","Color Photography",
"Art","Photography","Black and White Photography",
"Art","Photography","Abstract Photography",
"Art","Photography","Portrait Photography",
"Art","Photography","Landscape Photography",
"Art","Photography","Still-life Photography",
"Art","Photography","Figurative Photography",
"Art","Photography","Nude Photography",
"Art","Sculptures",,
"Art","Sculptures","Abstract Sculptures",
"Art","Sculptures","Figurative Sculptures",
"Art","Sculptures","Nude Sculptures",
"Art","Sculptures","Still-life Sculptures",
"Art","Drawings and Watercolor Paintings",,
"Art","Drawings and Watercolor Paintings","Abstract Drawings and Watercolors",
"Art","Drawings and Watercolor Paintings","Portrait Drawings and Watercolors",
"Art","Drawings and Watercolor Paintings","Landscape Drawings and Watercolors",
"Art","Drawings and Watercolor Paintings","Still-life Drawings and Watercolors",
"Art","Drawings and Watercolor Paintings","Figurative Drawings and Watercolors",
"Art","Drawings and Watercolor Paintings","Animal Drawings and Watercolors",
"Art","Drawings and Watercolor Paintings","Interior Drawings and Watercolors",
"Art","Drawings and Watercolor Paintings","Nude Drawings and Watercolors",
"Art","Prints and Multiples",,
"Art","Prints and Multiples","Abstract Prints",
"Art","Prints and Multiples","Portrait Prints",
"Art","Prints and Multiples","Landscape Prints",
"Art","Prints and Multiples","Still-life Prints",
"Art","Prints and Multiples","Figurative Prints",
"Art","Prints and Multiples","Animal Prints",
"Art","Prints and Multiples","Interior Prints",
"Art","Prints and Multiples","Nude Prints",
"Art","Prints and Multiples","More Prints",
"Art","Mixed Media",,
"Art","More Art",,
"Furniture",,,
"Furniture","Seating",,
"Furniture","Seating","Dining Room Chairs",
"Furniture","Seating","Living Room Sets",
"Furniture","Seating","Office Chairs and Desk Chairs",
"Furniture","Seating","Club Chairs",
"Furniture","Seating","Corner Chairs",
"Furniture","Seating","Rocking Chairs",
"Furniture","Seating","Swivel Chairs",
"Furniture","Seating","Slipper Chairs",
"Furniture","Seating","Bergere Chairs",
"Furniture","Seating","Lounge Chairs",
"Furniture","Seating","Sectional Sofas",
"Furniture","Seating","Sofas",
"Furniture","Seating","Windsor Chairs",
"Furniture","Seating","Footstools",
"Furniture","Seating","Settees",
"Furniture","Seating","Loveseats",
"Furniture","Seating","Canapes",
"Furniture","Seating","Wingback Chairs",
"Furniture","Seating","Side Chairs",
"Furniture","Seating","Armchairs",
"Furniture","Seating","Chairs",
"Furniture","Seating","Stools",
"Furniture","Seating","Ottomans and Poufs",
"Furniture","Seating","Benches",
"Furniture","Seating","Chaise Longues",
"Furniture","Seating","Daybeds",
"Furniture","Lighting",,
"Furniture","Lighting","Chandeliers and Pendants",
"Furniture","Lighting","Wall Lights and Sconces",
"Furniture","Lighting","Table Lamps",
"Furniture","Lighting","Floor Lamps",
"Furniture","Lighting","Lanterns",
"Furniture","Lighting","Flush Mount",
"Furniture","Lighting","More Lighting",
"Furniture","Case Pieces and Storage Cabinets",,
"Furniture","Case Pieces and Storage Cabinets","Commodes and Chests of Drawers",
"Furniture","Case Pieces and Storage Cabinets","Buffets",
"Furniture","Case Pieces and Storage Cabinets","Sideboards",
"Furniture","Case Pieces and Storage Cabinets","Shelves",
"Furniture","Case Pieces and Storage Cabinets","Apothecary Cabinets",
"Furniture","Case Pieces and Storage Cabinets","Linen Presses",
"Furniture","Case Pieces and Storage Cabinets","Dressers",
"Furniture","Case Pieces and Storage Cabinets","Vitrines",
"Furniture","Case Pieces and Storage Cabinets","Blanket Chests",
"Furniture","Case Pieces and Storage Cabinets","Corner Cupboards",
"Furniture","Case Pieces and Storage Cabinets","Credenzas",
"Furniture","Case Pieces and Storage Cabinets","Cupboards",
