,id,page_name,status,header,dynamicPage,itemResultsCount,searchCount,primary_url,secondary_url,note,error_status,error_response
0,1455362,buy:hunting-dogs,live,Hunting Dogs,,,,/search/?buyPageVariant1=true&q=hunting+dogs,/furniture/,Generated using custom generation script,SUCCESS,
1,1469442,buy:french-baroque,live,French Baroque,,,,/search/furniture/?buyPageVariant1=true&q=french+baroque,/furniture/origin/french/?style=baroque,Generated using custom generation script,SUCCESS,
2,1470212,buy:plique-a-jour,live,Plique A Jour,,,,/search/?buyPageVariant1=true&q=plique+a+jour,/jewelry/,Generated using custom generation script,SUCCESS,
3,1506052,buy:italy,scheduled,Italy,,,,/search/furniture/?buyPageVariant1=true&q=italy,nan,Dynamic buy pages endpoint: Found probable duplicates! http://internal-mario-buyer-services-1695447112.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=italy,ERROR,"{""error"": {""type"": ""SearchTermError"", ""message"": ""The normalized search term is too short, it must contain two or more words."", ""searchTermData"": {""original"": ""italy"", ""normalized"": ""italy"", ""latinised"": ""italy""}}}"
4,1508102,buy:beni-ourain,scheduled,Beni Ourain,,,,/search/furniture/?buyPageVariant1=true&q=beni+ourain,/furniture/rugs-carpets/,Dynamic buy pages endpoint: Found probable duplicates! http://internal-mario-buyer-services-1695447112.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=beni%20ourain,SUCCESS,
5,1513222,buy:wooden-ship-wheel,scheduled,Wooden Ship Wheel,,,,/search/furniture/?buyPageVariant1=true&q=wooden+ship+wheel,/furniture/,Dynamic buy pages endpoint: Found probable duplicates! http://internal-luigi-buyer-services-705204976.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=wooden%20ship%20wheel,SUCCESS,
6,1453062,buy:mens-shoes,live,Mens Shoes,,,,/search/?buyPageVariant1=true&q=mens+shoes,/fashion/clothing/shoes/,Generated using custom generation script,SUCCESS,
7,1506822,buy:curved,scheduled,Curved,,,,/search/furniture/?buyPageVariant1=true&q=curved,nan,Dynamic buy pages endpoint: Found probable duplicates! http://internal-mario-buyer-services-1695447112.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=curved,ERROR,"{""error"": {""type"": ""SearchTermError"", ""message"": ""The normalized search term is too short, it must contain two or more words."", ""searchTermData"": {""original"": ""curved"", ""normalized"": ""curved"", ""latinised"": ""curved""}}}"
8,276743,buy:stain-glass-lamps,live,,,,,/search/?buyPageVariant1=true&q=stain+glass+lamps,/furniture/lighting/table-lamps/,,SUCCESS,
9,1507592,buy:kim-mcaninch,scheduled,Kim Mcaninch,,,,/search/art/?buyPageVariant1=true&q=kim+mcaninch,/art/,Dynamic buy pages endpoint,SUCCESS,
10,1453832,buy:joseph-albers,live,Joseph Albers,,,,/search/?buyPageVariant1=true&q=joseph+albers,/creators/josef-albers/furniture/,Generated using custom generation script,SUCCESS,
11,1456392,buy:star-of-david-pendants,live,Star Of David Pendants,,,,/search/?buyPageVariant1=true&q=star+of+david+pendants,/jewelry/necklaces/pendant-necklaces/,Generated using custom generation script,SUCCESS,
12,1473032,buy:fish-bowls,live,Fish Bowls,,,,/search/?q=fish%20bowl&buyPageVariant1=true,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""StructuredBrowsePagesError"", ""message"": ""Only structured browse pages found for provided search term."", ""uriRef"": ""/creators/fish-design/furniture/decorative-objects/bowls-baskets/""}}"
13,1508362,buy:stereo,scheduled,Stereo,,,,/search/?buyPageVariant1=true&q=stereo,nan,Dynamic buy pages endpoint: Found probable duplicates! http://internal-mario-buyer-services-1695447112.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=stereo,ERROR,"{""error"": {""type"": ""SearchTermError"", ""message"": ""The normalized search term is too short, it must contain two or more words."", ""searchTermData"": {""original"": ""stereo"", ""normalized"": ""stereo"", ""latinised"": ""stereo""}}}"
14,1468682,buy:antique-botanical-prints,live,Antique Botanical Prints,,,,/search/?buyPageVariant1=true&q=antique+botanical+prints,/art/prints-works-on-paper/?item-type=antique-vintage,Generated using custom generation script,SUCCESS,
15,1469962,buy:marshall-studios-plates,live,Marshall Studios Plates,,,,/search/?q=marshall%20studios%20plates,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""ZeroResultsError"", ""message"": ""There are no items for provided search term.""}}"
16,1472522,buy:chess-boards,live,Chess Boards,,,,/search/?q=chess%20board&buyPageVariant1=true,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""SpellcheckError"", ""message"": ""Spellcheck for provided search term failed."", ""suggestion"": ""chess board""}}"
17,1505802,buy:horseshoe,scheduled,Horseshoe,,,,/search/?buyPageVariant1=true&q=horseshoe,nan,Dynamic buy pages endpoint,ERROR,"{""error"": {""type"": ""SearchTermError"", ""message"": ""The normalized search term is too short, it must contain two or more words."", ""searchTermData"": {""original"": ""horseshoe"", ""normalized"": ""horseshoe"", ""latinised"": ""horseshoe""}}}"
18,1507852,buy:orange-brown-patinated,scheduled,-Orange -Brown -Patinated,,,,/search/?buyPageVariant1=true&q=-orange+-brown+-patinated,nan,Dynamic buy pages endpoint,ERROR,"{""error"": {""type"": ""ZeroResultsError"", ""message"": ""There are no items for provided search term.""}}"
19,1515532,buy:sleeping-beauty,scheduled,Sleeping Beauty,,,,/search/?buyPageVariant1=true&q=sleeping+beauty,/jewelry/,Dynamic buy pages endpoint: Found probable duplicates! http://internal-luigi-buyer-services-705204976.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=sleeping%20beauty,SUCCESS,
20,1470732,buy:tom-of-finland,live,Tom Of Finland,,,,/search/?q=tom%20of%20finland,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""StructuredBrowsePagesError"", ""message"": ""Only structured browse pages found for provided search term."", ""uriRef"": ""/creators/tom-of-finland/furniture/""}}"
21,1468942,buy:art-portugal,live,Art Portugal,,,,/search/furniture/?buyPageVariant1=true&q=art+portugal,/art/,Generated using custom generation script,SUCCESS,
22,1470222,buy:pools-of-light,live,Pools Of Light,,,,/search/fashion/?buyPageVariant1=true&q=pools+of+light,/fashion/,Generated using custom generation script,SUCCESS,
23,1475342,buy:vintage-wooden-artists-easels,live,Vintage Wooden Artists Easels,,,,/search/furniture/?buyPageVariant1=true&q=vintage+wooden+artists+easels,/furniture/more-furniture-collectibles/racks-stands/easels/?item-type=antique-vintage,Generated using custom generation script,SUCCESS,
24,1454352,buy:playing-cards,live,Playing Cards,,,,/search/?buyPageVariant1=true&q=playing+cards,/furniture/,Generated using custom generation script,SUCCESS,
25,1469712,buy:hilma-af-klint,live,Hilma Af Klint,,,,/search/art/?buyPageVariant1=true&q=hilma+af+klint,/art/,Generated using custom generation script,SUCCESS,
26,1472272,buy:buddha-heads,live,Buddha Heads,,,,/search/?buyPageVariant1=true&q=buddha+heads,/furniture/,Generated using custom generation script,SUCCESS,
27,1507602,buy:six-way,scheduled,Six Way,,,,/search/furniture/?buyPageVariant1=true&q=six+way,/creators/r-way-furniture-company/furniture/,Dynamic buy pages endpoint,SUCCESS,
28,1475602,buy:wire-wall-sculptures,live,Wire Wall Sculptures,,,,/search/?q=wire%20wall%20sculpture&buyPageVariant1=true,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""StructuredBrowsePagesError"", ""message"": ""Only structured browse pages found for provided search term."", ""uriRef"": ""/furniture/wall-decorations/material/wire/""}}"
29,1453332,buy:chinese-snuff-bottles,live,Chinese Snuff Bottles,,,,/search/?q=chinese%20snuff%20bottles&buyPageVariant1=true,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""StructuredBrowsePagesError"", ""message"": ""Only structured browse pages found for provided search term."", ""uriRef"": ""/furniture/decorative-objects/vases-vessels/bottles/origin/chinese/""}}"
30,1507092,buy:butcher-block-island-table,scheduled,Butcher Block Island Table/,,,,/search/furniture/?buyPageVariant1=true&q=butcher+block+island+table,/furniture/tables/,Dynamic buy pages endpoint,SUCCESS,
31,1452822,buy:door-knockers,live,Door Knockers,,,,/search/?buyPageVariant1=true&q=door+knockers,/furniture/building-garden/doors-gates/,Generated using custom generation script,SUCCESS,
32,1473302,buy:gold-frames,live,Gold Frames,,,,/search/?q=gold%20frame&buyPageVariant1=true,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""StructuredBrowsePagesError"", ""message"": ""Only structured browse pages found for provided search term."", ""uriRef"": ""/furniture/decorative-objects/picture-frames/material/gold/""}}"
33,1506582,buy:circular-ottoman,scheduled,Circular Ottoman/,,,,/search/furniture/?buyPageVariant1=true&q=circular+ottoman,/furniture/seating/ottomans-poufs/,Dynamic buy pages endpoint,SUCCESS,
34,1471512,buy:art-glass-blacks,live,Art Glass Blacks,,,,/search/?q=art%20glass%20black&buyPageVariant1=true,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""StructuredBrowsePagesError"", ""message"": ""Only structured browse pages found for provided search term."", ""uriRef"": ""/furniture/dining-entertaining/black-white-photography/""}}"
35,1506072,buy:butterfly,scheduled,Butterfly,,,,/search/?buyPageVariant1=true&q=butterfly,nan,Dynamic buy pages endpoint: Found probable duplicates! http://internal-mario-buyer-services-1695447112.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=butterfly,ERROR,"{""error"": {""type"": ""SearchTermError"", ""message"": ""The normalized search term is too short, it must contain two or more words."", ""searchTermData"": {""original"": ""butterfly"", ""normalized"": ""butterfly"", ""latinised"": ""butterfly""}}}"
36,1508122,buy:erotic,scheduled,Erotic,,,,/search/?buyPageVariant1=true&q=erotic,nan,Dynamic buy pages endpoint: Found probable duplicates! http://internal-mario-buyer-services-1695447112.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=erotic,ERROR,"{""error"": {""type"": ""SearchTermError"", ""message"": ""The normalized search term is too short, it must contain two or more words."", ""searchTermData"": {""original"": ""erotic"", ""normalized"": ""erotic"", ""latinised"": ""erotic""}}}"
37,1513242,buy:inner-gardens,scheduled,Inner Gardens,,,,/search/art/?buyPageVariant1=true&q=inner+gardens,nan,Dynamic buy pages endpoint,ERROR,"{""error"": {""type"": ""StructuredBrowsePagesError"", ""message"": ""Only structured browse pages found for provided search term."", ""uriRef"": ""/creators/inner-gardens/furniture/building-garden/""}}"
